generic_name,display_name,reaction_term,count
fluoxetine,Fluoxetine (Prozac),DRUG INEFFECTIVE,8157
fluoxetine,Fluoxetine (Prozac),NAUSEA,7516
fluoxetine,Fluoxetine (Prozac),FATIGUE,7496
fluoxetine,Fluoxetine (Prozac),HEADACHE,6385
fluoxetine,Fluoxetine (Prozac),DEPRESSION,6056
fluoxetine,Fluoxetine (Prozac),ANXIETY,5839
fluoxetine,Fluoxetine (Prozac),DIZZINESS,5224
fluoxetine,Fluoxetine (Prozac),DIARRHOEA,5222
fluoxetine,Fluoxetine (Prozac),PAIN,5072
fluoxetine,Fluoxetine (Prozac),OFF LABEL USE,4975
fluoxetine,Fluoxetine (Prozac),DRUG INTERACTION,4877
fluoxetine,Fluoxetine (Prozac),VOMITING,4764
fluoxetine,Fluoxetine (Prozac),DYSPNOEA,4725
fluoxetine,Fluoxetine (Prozac),FALL,4417
fluoxetine,Fluoxetine (Prozac),INSOMNIA,4282
fluoxetine,Fluoxetine (Prozac),TOXICITY TO VARIOUS AGENTS,4198
fluoxetine,Fluoxetine (Prozac),MALAISE,3877
fluoxetine,Fluoxetine (Prozac),SUICIDAL IDEATION,3734
fluoxetine,Fluoxetine (Prozac),COMPLETED SUICIDE,3676
fluoxetine,Fluoxetine (Prozac),ASTHENIA,3565
fluoxetine,Fluoxetine (Prozac),WEIGHT INCREASED,3539
fluoxetine,Fluoxetine (Prozac),SOMNOLENCE,3495
fluoxetine,Fluoxetine (Prozac),TREMOR,3361
fluoxetine,Fluoxetine (Prozac),ARTHRALGIA,3290
fluoxetine,Fluoxetine (Prozac),FEELING ABNORMAL,3064
fluoxetine,Fluoxetine (Prozac),CONDITION AGGRAVATED,2992
fluoxetine,Fluoxetine (Prozac),INTENTIONAL OVERDOSE,2905
fluoxetine,Fluoxetine (Prozac),SUICIDE ATTEMPT,2839
fluoxetine,Fluoxetine (Prozac),WEIGHT DECREASED,2771
fluoxetine,Fluoxetine (Prozac),DEATH,2621
fluoxetine,Fluoxetine (Prozac),CONFUSIONAL STATE,2613
fluoxetine,Fluoxetine (Prozac),PRURITUS,2570
fluoxetine,Fluoxetine (Prozac),PYREXIA,2487
fluoxetine,Fluoxetine (Prozac),PAIN IN EXTREMITY,2449
fluoxetine,Fluoxetine (Prozac),RASH,2354
fluoxetine,Fluoxetine (Prozac),PNEUMONIA,2348
fluoxetine,Fluoxetine (Prozac),HYPERTENSION,2346
fluoxetine,Fluoxetine (Prozac),SEROTONIN SYNDROME,2340
fluoxetine,Fluoxetine (Prozac),FOETAL EXPOSURE DURING PREGNANCY,2330
fluoxetine,Fluoxetine (Prozac),DECREASED APPETITE,2318
fluoxetine,Fluoxetine (Prozac),ABDOMINAL PAIN,2310
fluoxetine,Fluoxetine (Prozac),GAIT DISTURBANCE,2259
fluoxetine,Fluoxetine (Prozac),COUGH,2244
fluoxetine,Fluoxetine (Prozac),HYPOTENSION,2196
fluoxetine,Fluoxetine (Prozac),OVERDOSE,2187
fluoxetine,Fluoxetine (Prozac),BACK PAIN,2141
fluoxetine,Fluoxetine (Prozac),HYPERHIDROSIS,2058
fluoxetine,Fluoxetine (Prozac),AGITATION,2049
fluoxetine,Fluoxetine (Prozac),CHEST PAIN,1999
fluoxetine,Fluoxetine (Prozac),MEMORY IMPAIRMENT,1962
fluoxetine,Fluoxetine (Prozac),ACUTE KIDNEY INJURY,1957
fluoxetine,Fluoxetine (Prozac),DRUG ABUSE,1953
fluoxetine,Fluoxetine (Prozac),ABDOMINAL PAIN UPPER,1933
fluoxetine,Fluoxetine (Prozac),CONSTIPATION,1869
fluoxetine,Fluoxetine (Prozac),PARAESTHESIA,1844
fluoxetine,Fluoxetine (Prozac),URINARY TRACT INFECTION,1838
fluoxetine,Fluoxetine (Prozac),MUSCLE SPASMS,1713
fluoxetine,Fluoxetine (Prozac),HYPOAESTHESIA,1607
fluoxetine,Fluoxetine (Prozac),MYALGIA,1589
fluoxetine,Fluoxetine (Prozac),VISION BLURRED,1561
fluoxetine,Fluoxetine (Prozac),BLOOD PRESSURE INCREASED,1517
fluoxetine,Fluoxetine (Prozac),CHRONIC KIDNEY DISEASE,1505
fluoxetine,Fluoxetine (Prozac),LOSS OF CONSCIOUSNESS,1505
fluoxetine,Fluoxetine (Prozac),TACHYCARDIA,1492
fluoxetine,Fluoxetine (Prozac),RENAL FAILURE,1483
fluoxetine,Fluoxetine (Prozac),PRODUCT USE IN UNAPPROVED INDICATION,1462
fluoxetine,Fluoxetine (Prozac),SEIZURE,1446
fluoxetine,Fluoxetine (Prozac),DRUG HYPERSENSITIVITY,1441
fluoxetine,Fluoxetine (Prozac),ALOPECIA,1398
fluoxetine,Fluoxetine (Prozac),ANAEMIA,1354
fluoxetine,Fluoxetine (Prozac),PRODUCT DOSE OMISSION ISSUE,1346
fluoxetine,Fluoxetine (Prozac),IRRITABILITY,1342
fluoxetine,Fluoxetine (Prozac),SYNCOPE,1332
fluoxetine,Fluoxetine (Prozac),BALANCE DISORDER,1331
fluoxetine,Fluoxetine (Prozac),AGGRESSION,1327
fluoxetine,Fluoxetine (Prozac),CARDIAC ARREST,1323
fluoxetine,Fluoxetine (Prozac),DIABETES MELLITUS,1316
fluoxetine,Fluoxetine (Prozac),DISTURBANCE IN ATTENTION,1313
fluoxetine,Fluoxetine (Prozac),ELECTROCARDIOGRAM QT PROLONGED,1303
fluoxetine,Fluoxetine (Prozac),HYPERSENSITIVITY,1298
fluoxetine,Fluoxetine (Prozac),MIGRAINE,1293
fluoxetine,Fluoxetine (Prozac),INJECTION SITE PAIN,1291
fluoxetine,Fluoxetine (Prozac),GASTROOESOPHAGEAL REFLUX DISEASE,1277
fluoxetine,Fluoxetine (Prozac),DEPRESSED MOOD,1269
fluoxetine,Fluoxetine (Prozac),PALPITATIONS,1244
fluoxetine,Fluoxetine (Prozac),ABDOMINAL DISCOMFORT,1235
fluoxetine,Fluoxetine (Prozac),DEHYDRATION,1232
fluoxetine,Fluoxetine (Prozac),CHILLS,1204
fluoxetine,Fluoxetine (Prozac),DRUG DOSE OMISSION,1201
fluoxetine,Fluoxetine (Prozac),NASOPHARYNGITIS,1195
fluoxetine,Fluoxetine (Prozac),DRUG WITHDRAWAL SYNDROME,1187
fluoxetine,Fluoxetine (Prozac),COMA,1179
fluoxetine,Fluoxetine (Prozac),HALLUCINATION,1149
fluoxetine,Fluoxetine (Prozac),CARDIO-RESPIRATORY ARREST,1140
fluoxetine,Fluoxetine (Prozac),MUSCULAR WEAKNESS,1119
fluoxetine,Fluoxetine (Prozac),OEDEMA PERIPHERAL,1119
fluoxetine,Fluoxetine (Prozac),SLEEP DISORDER,1103
fluoxetine,Fluoxetine (Prozac),DYSPEPSIA,1082
fluoxetine,Fluoxetine (Prozac),STRESS,1079
fluoxetine,Fluoxetine (Prozac),COVID-19,1071
fluoxetine,Fluoxetine (Prozac),INTENTIONAL SELF-INJURY,1068
fluoxetine,Fluoxetine (Prozac),MUSCULOSKELETAL STIFFNESS,1061
fluoxetine,Fluoxetine (Prozac),AMNESIA,1060
fluoxetine,Fluoxetine (Prozac),SINUSITIS,1060
fluoxetine,Fluoxetine (Prozac),CEREBROVASCULAR ACCIDENT,1055
fluoxetine,Fluoxetine (Prozac),PANIC ATTACK,1051
fluoxetine,Fluoxetine (Prozac),URTICARIA,1044
fluoxetine,Fluoxetine (Prozac),CONTUSION,1032
fluoxetine,Fluoxetine (Prozac),DRY MOUTH,1009
fluoxetine,Fluoxetine (Prozac),EMOTIONAL DISTRESS,1006
fluoxetine,Fluoxetine (Prozac),ERYTHEMA,1001
fluoxetine,Fluoxetine (Prozac),SEPSIS,984
fluoxetine,Fluoxetine (Prozac),MYOCARDIAL INFARCTION,967
fluoxetine,Fluoxetine (Prozac),HYPONATRAEMIA,965
fluoxetine,Fluoxetine (Prozac),INFLUENZA,963
fluoxetine,Fluoxetine (Prozac),PRODUCT USE ISSUE,953
fluoxetine,Fluoxetine (Prozac),HEART RATE INCREASED,952
fluoxetine,Fluoxetine (Prozac),PULMONARY EMBOLISM,952
fluoxetine,Fluoxetine (Prozac),CHEST DISCOMFORT,947
fluoxetine,Fluoxetine (Prozac),INJURY,931
fluoxetine,Fluoxetine (Prozac),WITHDRAWAL SYNDROME,927
fluoxetine,Fluoxetine (Prozac),MATERNAL EXPOSURE DURING PREGNANCY,925
fluoxetine,Fluoxetine (Prozac),INFLUENZA LIKE ILLNESS,922
fluoxetine,Fluoxetine (Prozac),LETHARGY,900
fluoxetine,Fluoxetine (Prozac),INCORRECT DOSE ADMINISTERED,897
fluoxetine,Fluoxetine (Prozac),PERIPHERAL SWELLING,882
fluoxetine,Fluoxetine (Prozac),INTENTIONAL PRODUCT MISUSE,878
fluoxetine,Fluoxetine (Prozac),DYSKINESIA,873
fluoxetine,Fluoxetine (Prozac),ASTHMA,871
fluoxetine,Fluoxetine (Prozac),ABDOMINAL DISTENSION,868
fluoxetine,Fluoxetine (Prozac),RESTLESSNESS,868
fluoxetine,Fluoxetine (Prozac),CONVULSION,867
fluoxetine,Fluoxetine (Prozac),BRONCHITIS,862
fluoxetine,Fluoxetine (Prozac),FLUSHING,861
fluoxetine,Fluoxetine (Prozac),BLOOD GLUCOSE INCREASED,860
