generic_name,display_name,reaction_term,n_cases (a),n_drug_other (b),n_other_reaction (c),n_other_other (d),PRR,PRR_lower_95CI,PRR_upper_95CI,ROR,ROR_lower_95CI,ROR_upper_95CI,Chi_squared,Signal_Status
fluoxetine,Fluoxetine (Prozac),SUICIDAL IDEATION,3734,124320,84351,19794584,6.872,6.654,7.098,7.048,6.818,7.287,18014.91,SIGNAL
fluoxetine,Fluoxetine (Prozac),SUICIDE ATTEMPT,2839,125215,56110,19822825,7.855,7.567,8.153,8.01,7.711,8.321,16206.0,SIGNAL
fluoxetine,Fluoxetine (Prozac),COMPLETED SUICIDE,3676,124378,76784,19802151,7.432,7.193,7.679,7.622,7.371,7.882,19600.36,SIGNAL
fluoxetine,Fluoxetine (Prozac),SELF-INJURIOUS IDEATION,228,127826,3813,19875122,9.283,8.122,10.608,9.297,8.133,10.628,1582.38,SIGNAL
fluoxetine,Fluoxetine (Prozac),INTENTIONAL SELF-INJURY,1068,126986,18320,19860615,9.05,8.511,9.624,9.118,8.57,9.7,7225.44,SIGNAL
fluoxetine,Fluoxetine (Prozac),SUICIDAL BEHAVIOUR,269,127785,3769,19875166,11.08,9.792,12.537,11.101,9.808,12.564,2293.38,SIGNAL
fluoxetine,Fluoxetine (Prozac),DEPRESSION SUICIDAL,102,127952,3244,19875691,4.881,4.008,5.944,4.884,4.01,5.949,301.45,SIGNAL
sertraline,Sertraline (Zoloft),SUICIDAL IDEATION,4986,206115,83099,19712789,5.627,5.47,5.788,5.738,5.575,5.907,17969.1,SIGNAL
sertraline,Sertraline (Zoloft),SUICIDE ATTEMPT,3436,207665,55513,19740375,5.804,5.609,6.006,5.884,5.683,6.092,12900.29,SIGNAL
sertraline,Sertraline (Zoloft),COMPLETED SUICIDE,3244,207857,77216,19718672,3.94,3.805,4.079,3.986,3.847,4.129,6853.49,SIGNAL
sertraline,Sertraline (Zoloft),SELF-INJURIOUS IDEATION,325,210776,3716,19792172,8.201,7.323,9.185,8.213,7.332,9.199,1883.52,SIGNAL
sertraline,Sertraline (Zoloft),INTENTIONAL SELF-INJURY,1978,209123,17410,19778478,10.654,10.172,11.159,10.745,10.255,11.259,15544.24,SIGNAL
sertraline,Sertraline (Zoloft),SUICIDAL BEHAVIOUR,290,210811,3748,19792140,7.256,6.439,8.176,7.264,6.446,8.187,1446.24,SIGNAL
sertraline,Sertraline (Zoloft),DEPRESSION SUICIDAL,285,210816,3061,19792827,8.731,7.734,9.857,8.741,7.742,9.87,1777.97,SIGNAL
